stage,occasion,occasion_label,group,group_label,metric,metric_label,n,mean,sd,se,ci95_low,ci95_high
training,day2_session2,Day 2/S2,workload_adapted,Workload-adapted,rt_ln_duration_s,RT-LN total duration (s),11,10.957090909090908,17.097234469086196,5.155010153335466,-0.5289874959395657,22.443169314121384
training,day2_session2,Day 2/S2,workload_adapted,Workload-adapted,rt_ln_count,RT-LN count,11,1.9090909090909092,2.773248833211526,0.8361659845503214,0.04599699220498321,3.772184825976835
training,day3_session1,Day 3/S1,workload_adapted,Workload-adapted,lt_rn_duration_s,LT-RN total duration (s),11,287.4844545454545,71.51356438797276,21.562150954166142,239.44098827208404,335.527920818825
training,day3_session1,Day 3/S1,workload_adapted,Workload-adapted,lt_rn_count,LT-RN count,11,23.454545454545453,10.472474744430148,3.1575699412498053,16.419041190582746,30.49004971850816
training,day3_session1,Day 3/S1,workload_adapted,Workload-adapted,rt_ln_duration_s,RT-LN total duration (s),11,9.074636363636364,19.063160589328973,5.747759181190411,-3.7321691798348073,21.881441907107536
training,day3_session1,Day 3/S1,workload_adapted,Workload-adapted,rt_ln_count,RT-LN count,11,1.7272727272727273,3.8753298979805346,1.1684559282225184,-0.8762093232335515,4.330754777779006
training,day3_session2,Day 3/S2,workload_adapted,Workload-adapted,lt_rn_duration_s,LT-RN total duration (s),11,305.9074545454545,85.00236643101607,25.629177794907413,248.80208775615742,363.01282133475166
training,day3_session2,Day 3/S2,workload_adapted,Workload-adapted,lt_rn_count,LT-RN count,11,26.181818181818183,12.710768519788108,3.8324409070180225,17.64260769894981,34.72102866468656
training,day3_session2,Day 3/S2,workload_adapted,Workload-adapted,rt_ln_duration_s,RT-LN total duration (s),11,11.242818181818182,15.424126061584055,4.650548987765134,0.8807492991132442,21.60488706452312
training,day3_session2,Day 3/S2,workload_adapted,Workload-adapted,rt_ln_count,RT-LN count,11,2.5454545454545454,3.297381881542882,0.9941980446903504,0.3302432555111894,4.7606658353979014
training,day1_session2,Day 1/S2,uniform,Uniform difficulty,lt_rn_duration_s,LT-RN total duration (s),11,211.57236363636363,83.16126591661858,25.074065103308612,155.70386500244848,267.4408622702788
training,day1_session2,Day 1/S2,uniform,Uniform difficulty,lt_rn_count,LT-RN count,11,17.454545454545453,4.885972500201702,1.4731761381057926,14.17210446541284,20.736986443678067
